9999,,Administrator,Surabaya,,
80,BSBM-01,BS. Bina Makmur,Jl Perum Graha Sunan Ampel Blok B/36,081357976868,Bu Doni
76,BSBM-02,BS. Pin-pin,Jl sambi arum RT  01 man tngh,317400281/083857007918,Okky
50,BSBM-03,BS. Petemon Karya,Jl Petemon IV/67,0315354170/031547684,Bu Lasiman
70,BSBM-04,BS. Mulya Jaya,Jl Wonorejo 4/102,03172040122/081331558188,Bu indah/bu nora
71,BSBM-05,BS. Bina Sejahtera,Jl Petemon II,081944884410/082140443165,BapakWinarno/bu elly
77,BSBM-06,BS. Rizqi Lancar,Jl Sambi Arum RT 01,03171781139,Bu Diah
1,BSBM-07,BS. Bagus Karya,Jl Asem Bagus gg III-22,03160323166,Bu Edi
14,BSBM-09,BS. Jaya Mandiri,Jl Kanginan 2/19,031778953/08155089358,Bu Ifa
79,BSBM-10,BS. Mandiri Sejahtera 2,Jl Pucang Sawit,081217820080/085100638818,Bu Endro
28,BSBM-11,BS. Gotong Royong,Jl Bratang Binangun V/35,03181500048,Bu Slamet
52,BSBM-12,BS. Juwingan Gemilang ,Jl Juwingan 136,085335703188/3171459915,Bu Ninik
15,BSBM-13,BS. Sekar jaya,Jl Pucangan 1,0315021296/081331030320,Bu Mila
69,BSBM-15,BS. Legundi Berseri,Jl Legundi25A sby,03171218802,Bu Iin Aryati
17,BSBM-16,BS. Pilah Jaya,Jl Gubeng Kertajaya IVB,088217219407/03192139108,Bu Yayuk
18,BSBM-17,BS. Gubeng Jaya Mandiri,Jl Gubeng Jaya VI,0315047077,Pak Suyadi
48,BSBM-18,BS. Sartika Sari,Jl Manyar Adi 1/42,03172152257,Bu Ana
35,BSBM-19,BS. Guyub Sayekti,Jl Ngagel Mulyo IA/8B,03191166784,Bu Fitri
36,BSBM-20,BS. Perintis Jaya,Bratang Perintis V-51,03172506090/085101506090,Bu Sugeng
6,BSBM-22,BS. Karya Mandiri,Jl Bagong Ginayan gg II-02,(031)5025187/081216643598/085336053560/0315022717,Bu Said
87,BSBM-23,BS. Mesem,Jl Semolowari Bahari Blok M 12/64,087752630616/ 03172984522,Bu Hari Mulyo
277,BSBM-24a,BS. Dian Sati 1,Jambangan IIID,0318291027,Bu Yus
20,BSBM-24b,BS. Dian Sati 2,Jambangan III RT 2,08123282579,Bu Yus
25,BSBM-24c,BS. Dian Sati 3,Jambangan RT3,0318283359,Bu Sofie
54,BSBM-24d,BS. Dian Sati 4,Jambangan,08123214987,Bu Hari eko
19,BSBM-24e,BS. Dian Sati 5,Jambangan RT 5,085733532449,Bu Fia
9,BSBM-24f,BS. Dian Sati 6,Jambangan VI RT 6,081553306750,Bu Mila
33,BSBM-24g,BS. Dian Sati 7,Jambangan RT 7,081605100237,Bu Mimtahatun
53,BSBM-25,BS. Bintang 5,Jl Jambangan Sawah D-48 RT02 RW05,085329069009/ 03170899375,Bu Pardiono
338,BSBM-26,BS. Samberia 2,Jl Semolowaru Bahari RT 2,081803084032,Pak Prijanto
67,BSBM-27,BS. Mekar Sari,Jl Kendalsari 1/23,087852773006/081332605911,Bu Heru
337,BSBM-28,BS. Samberia 1,Jl Semolowaru Bahari  RT1/05,081703243065/03183463397,Bu wayan
4,BSBM-29,BS. Manyar Sumber Rejeki,Jl Manyar Sabrangan 8b/61,081235108217/03175156217,Bu Naslipan
5,BSBM-30,BS. Menur Nadif,Jl Menur II/27,03171023171,Bu Nirmala
7,BSBM-31,BS. Tegal Mulyo Rejo Baru 2,Jl Tegal Mulyo Rejo- Surabaya,081615393773,Bu Pangat
95,BSBM-32,BS. Pamevi,Jl Panjang Jiwo 5 /23 - Surabaya,081330180980/81330666121,Bu Sunarto
106,BSBM-33,BS. Untung Sari,Jl. Sariboto kalisari 01, 081703075473,Bu Ida
37,BSBM-34,BS. Sri Rejeki,Jl Bulak Rukem Timur I K-6,03151503641/085720113458,BuTrubus
86,BSBM-35a,BS. Dolphin,Jl Hang Tuah Flat A2 Rumah Dinas Armatim,083831911057,Bu  Sumarna
85,BSBM-35b,BS. Dolphin Flat A3,Jl Hang Tuah Flat A3 Rumah Dinas Armatim,083831911057,Bu  Sumarna
83,BSBM-35c,BS. Dolphin Flat A4,Jl Hang Tuah Flat A4 Rumah Dinas Armatim,081234847117,Bu  Agustin
84,BSBM-35d,BS. Dolphin Flat A5,Jl Hang Tuah Flat A5 Rumah Dinas Armatim,085733006928,Bu Edi
88,BSBM-35e,BS. Dolphin Flat A6,Jl Hang Tuah Flat A6 Rumah Dinas Armatim,085733006928,Bu Edi
?,BSBM-36,BS. Sejahterah,,,
82,BSBM-37,BS. Anyelir,Jl Rungkut Asri Timur 1 No. 2,031 81077936,Pak Hartanto
97,BSBM-38,BS. Barokah,Jl Krukah Utara 8A/16,031 31419673/082143898978,Pak Jalil
56,BSBM-39 a,BS. Bersinar,Jl Kedung Tarukan Baru 3C / 17,031 5992937,Bu Tikno
62,BSBM-39 b,BS. Rukun jaya,Jl Jambangan 7B ,0318293986/081331089875,Bu Mustakim
103,BSBM-40,BS. Bina Warga,Jl Doho No. 43,031 71546858/085645675934,Bapak Dadang
92,BSBM-41,BS. Bumi Melati,Jl Bumi Melati 5 no 26,081559936175/085746884676,Bu Yetti
42,BSBM-42,BS. Edelweis,Jl. Ngagel Jaya Barat RT 03 RW 03,031 5020835,Bu Marlina
102,BSBM-43,BS. Janur ABM,Jl Karang Menur Timur RT 06 RW 08,08883719908/03191650504,Bu Yuni
16,BSBM-44,BS. SMAN 2,Jl Wijaya Kusuma 48,03181209750,Pak Choirul
45,BSBM-45,BS. Ketintang Baru,Jl Ketintang Baru 17 No. 43A,03170532446/085203516262,Bu Nirwono
373,BSBM-46,BS. Maju Terus,Jl Kalianak Barat no 24,085730519353,Bu Wanti
73,BSBM-47,BS. Makmur Jaya,Jl Barata Jaya 2A,081357980022/083857989033,Pak Heri/wati
256,BSBM-49,BS. Masidosi,Jl Medokan Semampir E-34A,08123575161/085102078205,Bu Wandi
72,BSBM-50,BS. Mulyo Rukun,Jl Ngagel Mulyo v no 25,081252978525/085733063186,Bapak Andre
96,BSBM-52,BS. Merpati,Jl. Ikan Kerapu 4 No. 27),03183641455/085645965855,Bu Indah
225,BSBM-53,BS. Rukun Mulyo,Jl Ngagel Mulyo gg 4 RT 03 RW 04,085730856622,Bu Heni
8,BSBM-54,BS. Sekolah Alam Insan Mulia,Jl. Medokan Semampir indah 99-101),081331713011,Pak Arif
3,BSBM-56,BS. SDN Kaliasin I,Jl Gubernur Suryo No 26,0315321226,Bu Tri
65,BSBM-57,BS. SDN Kendang Sari 4,Jl Rungkut Mejoyo Selatan gg 10 No. 36,0318420085,Bu Ida
109,BSBM-58,BS. SDN Rungkut Menanggal,Jl Rungkut Barata 9 No. 3,0318712234,Pak Haris
12,BSBM-60,BS. Soka Lestari,Jl Bratang Binangun 5b No. 16,085850117178,Bu Heri
81,BSBM- 62,BS. Yonyang Mandiri,Jl. Tanjung Pinang RW 11 Pos Kamling,081217710009,Bu Hin
282,BSBM-63,BS. Sinar,Jl Manyar Sabrangan I,082132257692/0852321416700,Bu Basuki
269,BSBM-64,BS. Rejo Asri 76,Jl Wonorejo 4 no 73,085100453091/3170453091,Bu Ira
47,BSBM-65,BS. Sahabat Kita,Jl Dukuh Pakis II no 75,3170950389/082230078456,BuHeru
10,BSBM-66,BS. Setia Kawan,Jl Undaan Peneleh,03172683075,Bu Ana
275,BSBM-67,BS. Pitu Mandiri,Jl Simosidomulyo gg 10 RT 7 RW 15,03177446871/082332621647/03177446871,Bu Melfin
257,BSBM-68,BS. Masidosi RT 2,Jl Medokan Semampir F-25,08123575161/085102078205,Bu Wandi
258,BSBM-69,BS. Masidosi RT 3,Jl Medokan Semampir H-12,08123575161/085102078205,Bu Wandi
341,BSBM-70,BS. Masidosi RT 4,Jl Medokan Semampir J-2,03177078205,Bu Wandi
259,BSBM-71,BS. Masidosi RT 6,Jl Medokan Semampir M-17,08123575161/085102078205,Bu Wandi
339,BSBM-72,BS. Samberia 3,Jl Semolowaru Bahari Rt 3,082140858606,Bu Pri
340,BSBM-73,BS. Samberia 4,Jl Semolowaru Bahari Rt 4,082140858606,Bu Pri
322,BSBM-74,BS. Teratai,Jl Ngagel Dadi 1i,03171702463,Bu Toni
394,BSBM-75,BS. Wolu,Jl Waringin 4E,082142871141/081217710009,Bu Suryandari
328,BSBM-76,BS. Anggrek Berseri,Jl Jojoran gg 1 57A,081357569299/085852426907,Bu Wiwik
392,BSBM-77,BS. Tunas Mandiri,Jl Kanginan DKA,08155089358,Bu Ifa
13,BSBM-78,BS. Barata Berjaya,Jl Barata Jaya VI/ 22,03192317878,Bu Suyarman
57,BSBM-79,BS. Al Barokah,Jl Jemur Ngawinan I/59,085232692731,Pak Putra
267,BSBM-80,BS. Kintamani,Jl Kintamani no 11 Wonokromo,0318292232,Bu Ifa
270,BSBM-81,BS. RSS Wonosari,Jl Sewedi Blok A / 31 Wonosari,082140908300, Bu Andreas
21,BSBM-83,BS. Raflesia,Jl Krukah Buntu Lama Buntu 9,0315405022/081357738237,Bu Lina
276,BSBM-84,BS. Aditya RT,Jl Aditya Warman 3/41,0315661892/08113412469,Bu In
274,BSBM-85,BS. Aditya RW,Jl Kutai 65,0315661892/08113412469,Bu In
68,BSBM-86,BS. Rejo Agung,Jl Ngagel Rejo II/18,0315010806,Bu Wiwik
318,BSBM- 87,BS. Mandiri 7,Jl Kranggan V/44,081234509956,Bu Anita
289,BSBM-88,BS Matahari Berseri,Jl Dinoyo Tangsi,087854535411,Bu Lusia
312,BSBM-89 ,BS. Semanggi,Jl Pandugo (Wisma Penjaringan Sari)  XIII/55 – R.35,0318706650/085334331081,Bu Irwantoro
24,BSBM-90,BS. Gubsi Jaya,Jl Gubeng Klinsingan V/72,03172695507/03131234891/081332278178/081231091844,Bu Peni
243,BSBM-91,BS. Mas Pecah,Jl Wonorejo II/27,085852834649/085105318901,Bu Yuli
288,BSBM-92,BS. Palem,Jl Jojoran Baru II,0315936061/085732930580,Bu yoyok
64,BSBM-93,BS. Mulyorejo,Jl Ngagel Mulyo 6/8D,085881988500,Bu Fajar
292,BSBM-94,BS. An nur,Jl Kedung Tarukan gang 3,031-72057923,Bu Suyanto
389,BSBM-95,BS. Surya Abadi Mandiri,Jl Medokan Semampir C/27,087852207890/'081235108230,Bu Dian
380,BSBM-96,BS. PPI Maju Jaya,Jl Gresik PPI 5/22A,031 71756728,Bu Titik
336,BSBM-97,BS. Wahyu Cel Mandiri,Jl Gayung Kebonsari I/16,031 8280889,Bu In
300,BSBM- 98,BS. Menur Asri,Jl Menur gang 1,0812169443335,Bu Erin
319,BSBM- 99,BS. Delima,Perumahan Griya Pesona Asri E-14,031 71756728/081553218938,Bu Risa
323,BSBM-99,BS. PG-TK Taman Rini,Jl Kepanjen no 5,0313542426/081217596706,Bu Ines
383,BSBM-100,BS. SMAN 14 Surabaya,Jl Raya Tenggilis,,Dio
301,BSBM-101,BS. SMK Adikawacana,Jl Keputih Perumahan 3c,081216169723/081553116325,Bu Elisabet
317,BSBM-102,BS. SMKN 10,Jl Keputih Tegal,088217243001/081252706776,Pak Slamet
27,BSBM-103,BS. Cilukba,Jl Ketintang RT,(031 81954215/031 77618875,Bu dadang
287,BSBM-104,BS. Lekas Maju,Jl Diponogoro banyuurip,081217419923,Pak Tono
104,BSBM-105,BS. SMA Gloria 2,Jl kalisari 1/ 33,0816506159,Bu Ester
91,BSBM-106,BS. SMK Hendrikus,Jl arif rahman hakim no 40-44,081217104040/315941505,Pak Billy
293,BSBM-107,BS. Hijo Royo Royo,Jl Gubeng Jaya Langgar 8,082234904295/085646182626/'03131234679,Bu Kusnia/ Bu Tutik
313,BSBM-108,BS. Bina Lingkungan,Rungkut Kidul,081231350048/085736290581,Bapak Faisal
330,BSBM-109,BS. Janur 8,,082189055558,Bu Yudho
2,BSBM-110,BS. Manyar Mandiri,Manyar Sabrangan 9 makam,081232678761/085648088167,bu parman
49,BSBM-111,BS. Sumber Rejeki,Dinoyo tenun no.109,03178373538/081330677461/085791122896,B nunuk
329,BSBM-112,BS. SMPN 23 ,,,
?,BSBM-113,BS. SMPN 35,,,
32,BSBM-114,Indonesia Dwi Sembilan,jemursari no 166,0318413161/0318478129,Bapak herman
353,BSBM-115,Sinergi Optima,,,
374,BSBM-116,Global Typing,,,
39,,BS. Simo Jaya,Simowawu gg Delima,,BuYanto
40,,BS. Pratama Ceria,Babatan Pratama XXIX/ii-28,,Bu Devi
41,,BS. Ngagel Jaya,,,
43,,BS. Bina Bhakti,Bratang binangun,031 24591178,Bu Karno
51,,BS. Solusi Bunda,Petemon IV NO 151,5324775/ Bapak Chamid 08175153139,Bu Chamid
66,,BS. Jadi Jaya,,,Bu Jadi
74,,BS. Rajawali,Wonorejo,,BuTopo
75,,BS. Mandiri Sejahtera,Jl. Embong Belimbing 38a,,Bu Reny
89,,BS. Gerly,Jambangan X,03171317181,Bu Bakar
90,,BS. SMPN 9,,,
?,,BS. Sumber Rejeki,Candi Lontar Blok 41L,(031)7413209/0811378271,Bu Unang
93,,BS. SDN Kendang Sari 2,Tenggilis Barat V,0318418340,B Nurul
99,,BS. SDN Kapasari 8,Kusuma Bangsa no 124,081332222860,Bapak Jariyanto
101,,BS. Royal Plaza,Royal Plaza,,Samsul
108,,BS. Suruh Bersih,Dsn Suruh RT 15 RW 4 Sukodono,00318831071,Pak Yus
110,,BS. SDIT Al Uswah,Kejawan Gebang III / 1A,0315997080 / 081331373392,Bapak Muhailil
227,,BS. SMPN 39,Prapen panjang jiwo,,BuDian
229,,BS. Jasa Maju,,,
105,,BS. TK Kristus Radja 2,,,
244,,BS. Abadi,Bratang,,
260,,BS. Mentari,Klakah Rejo RT2,,Bu Ruminingsih
290,,BS. The Gayung Sari ,,,
297,,BS. SMPN 37,,,
304,,BS. Darma Cendika,,,
351,,BS. Unesa,,,
358,,BS. 32,Manukan Lor 5D/18,031 7421934,Bu Joko
359,,BS. 46,Jambangan 7A,082142997716,Bu Kayubi
360,,BS. Airlangga Jaya,Gubeng airlangga 1/2,,BuYuni
361,,BS. Cerme,Ngagel Rejo RT 3,(08123108770,Bu Santi
362,,BS. Clean PGGL,Pandegiling,0315460638/714880774,Bu Umi/Bu Mujiono
363,,BS. Flamboyan,Rungkut Kidul II Kebayan,(031)77007334,Bapak Agus
364,,BS. Gubker Jaya,Gubeng kertajaya IIIG-1F,,Bu Ira
365,,BS. ITS,Kampus ITS,,Bu tohar
366,,BS. Jonas hoto,,,Ike
367,,BS. JW Protect Indah 4,Jetis Wetan,(031)77350440,Bu Rifa’i
368,,BS. Kali Surabaya,Jl Karah,,
369,,BS. Lang Srikandi,Jl Siwalankerto,,
370,,BS. Lembah Harapan,Lembah Harapan,(0852)32832800,Bu Masrum
371,,BS. Lontar Mandiri,Perum Lontar Indah,(031)81897116,Bu Sugeng
372,,BS. M 46,Jl siwalan kerto,,Bu Dina
375,,BS. Panglima,Pandegiling,,Bu warti/uci
376,,BS. Paud,Bratang,,
377,,BS. PDGL Bersih,Pandegiling ,,Bu Murti
378,,BS. Perahu Layar,Kalilom Lor Timur gang V,081938301972/085283909890,Bu Rini
379,,BS. Pitoe Jambangan Tama,Jambangan,(031)31387931,Bu  Yulia/bu jarwo?
381,,BS. Rukun Karya,Margorukun gg IV,(081)329047722,BP Fauzan/B. Wiwik
382,,BS. SD Yamassa,Kedung Asem,,BuWiwik
384,,BS. SMAN 9,,,
385,,BS. SMP Praja Mukti,Kupang Segunting III No 12c,087852914153,Bapak Mukin
386,,BS. SMPK Santo Yosep,Jl Joyoboyo,,
387,,BS. SMPN 26,,,
388,,BS. Suka Makmur,Tanah Merah gg IV Seledri-18,72556095/081217027072,Bapak Edi
393,,BS. Usaha Mandiri,Asem bagus III-8,,BS.yuni
395,,BS. Margorejo Indah 3,Jetis Wetan gg III-03,,Bu Fitri
26,,BS. Binangun Karya,Bratang binangun VA,031 5015370,Bu Yayuk
31,,BS. Bakti Pertiwi,Taman pondok Indah TX,031 7665375/08155220699,Bu Herlambang
78,,BS. Baba Prima,Jl. Kenjeran no 411,031 3817674,Bu Kristina
100,,BS. Karya Guna,Keputih 1D,03183059418/081259411825,Bu Risa
314,,BS. Karang Taruna,Lumumba,,
320,,BS. RBHI,,081330051599/082131405414,Bu Endang
321,,BS. SD Darul Ulum,Jl.kebon sari tengah no.66,085655251257/0318285935,BS.holikah
23,,Lestari BS,Jl Manyar Sabrangan 1,,
38,,Gerly2,Jl Jambangan VIIB no 4A,,
22,,Kantin SMANDA,Jl Wijaya Kusuma,,
58,,Semolowaru Bahari I BS,Jl Semolo RT1RW5,,
59,,Semolowaru Bahari III BS,Jl Semolo RT3RW5,,
60,,Semolowaru Bahari IV BS,Jl Semolo RT4RT5,,
61,,Semolowaru Bahari II,Jl Semolo RT2RW5,,
63,,Melati BS,Jl Wonorejo 1/33,,
94,,Gubeng Langgar BS,Jl Gubeng Jaya Gg Langgar,,
